,DATE,Trip_ID,fare_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,STATION,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
58,2009-02-28,2929712025,705.55,42.3519,-71.0643,42.3661,-71.0631,176,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",43.9,24,30.4,24,1019.2,23,17.2,24,10.0,24,8.9,24,15.0,24.1,57.0, ,32.0, ,0.02,G,999.9,0
59,2009-03-01,2002834357,809.2,42.3519,-71.0551,42.3519,-71.0643,120,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",32.5,24,22.7,24,1018.5,15,16.5,24,7.2,24,7.7,24,12.0,17.1,39.0, ,28.0, ,0.1,G,999.9,11000
60,2009-03-02,1530558409,512.05,42.3559,-71.055,42.3588,-71.0707,102,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",25.2,24,20.4,24,1013.9,9,11.3,24,2.7,24,13.1,24,20.0,29.9,33.8,*,21.2,*,0.14,G,999.9,101000
61,2009-03-03,2469677043,881.7,42.3519,-71.0551,42.3398,-71.0892,164,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",19.0,24,1.5,24,1023.2,24,21.3,24,10.0,24,9.1,24,13.0,22.0,27.0, ,12.0, ,0.02,G,999.9,0
62,2009-03-04,2234462367,872.05,42.3647,-71.0542,42.3661,-71.0631,153,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",22.6,24,4.0,24,1029.6,24,27.6,24,10.0,24,4.5,24,8.9,999.9,34.0, ,8.1, ,0.0,G,999.9,0
63,2009-03-05,1975409305,738.5,42.3647,-71.0542,42.3519,-71.0643,141,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",28.5,24,13.4,24,1030.5,24,28.6,24,9.9,24,2.1,24,7.0,999.9,46.0, ,10.9, ,0.0,G,999.9,0
64,2009-03-06,2874969775,910.35,42.3588,-71.0707,42.2148,-71.033,155,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",44.3,24,29.9,24,1021.7,24,19.8,24,10.0,24,4.6,24,8.9,17.1,57.0, ,33.1, ,0.0,G,999.9,0
65,2009-03-07,2643646547,807.65,42.3519,-71.0643,42.3661,-71.0631,158,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",58.6,24,44.4,24,1017.5,24,15.6,24,8.8,24,3.9,24,6.0,999.9,72.0, ,45.0, ,0.0,G,999.9,0
66,2009-03-08,2138579498,694.55,42.3429,-71.1003,42.2148,-71.033,129,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",62.4,24,48.9,24,1011.7,24,9.9,24,9.5,24,6.0,24,9.9,19.0,69.1, ,55.9, ,0.0,G,999.9,0
67,2009-03-09,2262440813,814.4,42.3429,-71.1003,42.3519,-71.0643,124,72407493780.0,39.94075,-74.84083,14.9,"SOUTH JERSEY REGIONAL AIRPORT, NJ US",52.5,24,40.7,24,1011.7,19,9.2,24,8.7,24,7.9,24,17.1,26.0,59.0, ,46.0, ,0.0,G,999.9,0
